Timestamp,Edad,Género,¿En qué lugar usás comúnmente la computadora?,¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?,¿Dónde aprendiste a usar la computadora? (podés elegir más de una opción),¿Qué celular usás?,Si usás celular: ¿qué haces cuando usás el celular? (podés elegir más de una opción),¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Muchas de las aplicaciones que conocemos se pueden usar gratuitamente, como por ejemplo Facebook, YouTube, Instagram o TikTok. ¿Por qué creés que permiten su uso sin tener que pagar 💵?",Escuela y grado
4/26/2021 15:06:35,12,Otro,En mi casa,"Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,Chateo (por ejemplo en WhatsApp o Telegram),En la nube,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 15:36:49,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de la nube.,Porque obtienen dinero vendiendo nuestros datos e información personal.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 16:04:17,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,"Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 16:14:10,10,Femenino,En mi casa,Juego juegos,Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 16:35:19,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 16:35:44,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 16:38:35,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,"Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 17:12:08,10,Femenino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 21:26:50,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela, Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 22:21:14,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",Me prestan uno,"Miro videos en YouTube, Juego juegos",En la nube,No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/27/2021 3:32:58,10,Femenino,En mi casa,Juego juegos,Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/27/2021 17:43:38,10,Masculino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
4/28/2021 4:22:45,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos, Grabo videos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/28/2021 16:57:41,8,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/28/2021 20:25:43,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/28/2021 21:01:22,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En mi celular,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/1/2021 15:34:56,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube",En mi celular,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
5/1/2021 17:07:00,9,Masculino,En mi casa,"Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Hablo por teléfono",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/2/2021 23:59:27,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado TM
5/3/2021 0:40:33,10,Masculino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 1:19:18,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En una computadora,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 1:27:50,8,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), edito videos y dibujos",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos, edito dibujos y videos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,"Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 4to grado
5/3/2021 14:22:34,10,Masculino,En mi casa,Hago la tarea,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",Me prestan uno,Juego juegos,En la nube,Yo y otras personas.,No sé,No sé,No sé,no se,Escuela Nº 83 Juan Arzeno - 4to grado
5/3/2021 14:40:38,9,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono",No sé,Yo y otras personas.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 16:30:19,10,Femenino,En mi casa,Hago la tarea,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), tambien miro YouTube",En mi celular,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 16:39:12,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,Juego juegos,No sé,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 17:12:27,10,Masculino,En mi casa,Miro videos en YouTube,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,Juego juegos,No sé,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
5/3/2021 17:31:24,10,Femenino,En mi casa,Juego juegos,Me enseñaron en la escuela,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Juego juegos",En mi celular,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,"Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 5to grado
5/4/2021 20:18:19,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En mi celular,No sé,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/5/2021 1:26:17,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono",No sé,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/6/2021 21:52:15,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",No uso celular,Nunca uso el celular,En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
5/9/2021 0:05:40,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",No sé,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/9/2021 4:44:19,9,Femenino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado 
5/9/2021 4:46:00,9,Femenino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/10/2021 3:13:43,8,Masculino,En mi casa,Juego juegos,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro videos en YouTube, Juego juegos",En la nube,Yo y otras personas.,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
5/10/2021 15:05:40,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono",En la nube,No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
5/10/2021 16:28:33,10,Femenino,En mi casa,"Juego juegos, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
5/10/2021 18:41:58,9,Masculino,En la escuela,"No uso computadora, lo que nombra lo hago pero desde mi celu",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos, tareas de classrom",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 4to grado
5/11/2021 1:06:19,9,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,Miro videos en YouTube,En mi celular,Yo y otras personas.,Le mando una copia de mi foto.,No sé,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
5/11/2021 1:08:26,9,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,Miro videos en YouTube,En mi celular,Yo y otras personas.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
5/11/2021 1:14:34,9,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,"Miro videos en YouTube, Juego juegos",En mi celular,Yo y otras personas.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
5/14/2021 1:45:18,9,Masculino,No tengo computadora,No tenemos pc,Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
5/14/2021 14:41:58,11,Masculino,En mi casa,Hago la tarea,Me enseñaron en la escuela,El mío,"Miro videos en YouTube, Hablo por teléfono",En una computadora,Yo y otras personas.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Gabriela Mistral - 6to grado
5/14/2021 14:58:38,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Me enseñaron en la escuela,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Porque todo lo que está en Internet es gratuito.,Escuela Gabriela Mistral - 5to grado
5/14/2021 14:58:45,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,Juego juegos,En mi celular,Yo y otras personas.,No sé,No sé,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Gabriela Mistral - 5to grado
5/14/2021 16:15:53,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono",En mi celular,Yo y otras personas.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,"Porque ya tienen suficiente dinero y no necesitan más., Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Gabriela Mistral - 5to grado
5/15/2021 1:11:26,11,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",En mi celular,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Gabriela Mistral - 6to grado
